market_id,week,group,treated_market,post,eligible_control,organic_clicks,paid_clicks,total_clicks,spend,revenue,paid_revenue,true_incremental_clicks,substitution_clicks
M001,1,treated,1,0,1,996.8252,0.0,996.8252,0.0,1993.6503,0.0,0.0,0.0
M001,2,treated,1,0,1,1010.728,0.0,1010.728,0.0,2021.4561,0.0,0.0,0.0
M001,3,treated,1,0,1,1022.5923,0.0,1022.5923,0.0,2045.1847,0.0,0.0,0.0
M001,4,treated,1,0,1,1031.808,0.0,1031.808,0.0,2063.6159,0.0,0.0,0.0
M001,5,treated,1,0,1,1038.183,0.0,1038.183,0.0,2076.366,0.0,0.0,0.0
M001,6,treated,1,0,1,1041.974,0.0,1041.974,0.0,2083.9479,0.0,0.0,0.0
M001,7,treated,1,0,1,1043.8454,0.0,1043.8454,0.0,2087.6908,0.0,0.0,0.0
M001,8,treated,1,0,1,1044.7649,0.0,1044.7649,0.0,2089.5298,0.0,0.0,0.0
M001,9,treated,1,0,1,1045.8503,0.0,1045.8503,0.0,2091.7005,0.0,0.0,0.0
M001,10,treated,1,0,1,1048.1932,0.0,1048.1932,0.0,2096.3864,0.0,0.0,0.0
M001,11,treated,1,0,1,1052.6868,0.0,1052.6868,0.0,2105.3736,0.0,0.0,0.0
M001,12,treated,1,0,1,1059.8847,0.0,1059.8847,0.0,2119.7693,0.0,0.0,0.0
M001,13,treated,1,1,1,934.9134,180.0,1114.9134,112.5,2229.8269,360.0,45.0,135.0
M001,14,treated,1,1,1,947.4528,180.0,1127.4528,112.5,2254.9057,360.0,45.0,135.0
M001,15,treated,1,1,1,961.7861,180.0,1141.7861,112.5,2283.5723,360.0,45.0,135.0
M001,16,treated,1,1,1,976.9135,180.0,1156.9135,112.5,2313.827,360.0,45.0,135.0
M001,17,treated,1,1,1,991.7097,180.0,1171.7097,112.5,2343.4193,360.0,45.0,135.0
M001,18,treated,1,1,1,1005.1016,180.0,1185.1016,112.5,2370.2033,360.0,45.0,135.0
M001,19,treated,1,1,1,1016.2382,180.0,1196.2382,112.5,2392.4764,360.0,45.0,135.0
M001,20,treated,1,1,1,1024.6241,180.0,1204.6241,112.5,2409.2482,360.0,45.0,135.0
