session_id,directed_search_usage,sales,prior_sessions,high_intent,returning_customer,mobile_session,prior_customer_value,true_effect,true_propensity
S00001,0,35.2282,5,0,0,0,126.8624,8.0,0.347777
S00002,1,50.4342,4,1,0,1,116.9348,8.0,0.428398
S00003,0,27.1113,1,0,0,1,109.3242,8.0,0.101192
S00004,1,46.8762,2,1,0,0,112.3002,8.0,0.339349
S00005,0,32.3187,3,0,0,0,143.2369,8.0,0.244054
S00006,0,35.3884,5,0,0,1,116.2673,8.0,0.280417
S00007,0,33.0175,1,1,0,0,90.347,8.0,0.25013
S00008,0,33.6931,0,1,0,0,106.3067,8.0,0.213802
S00009,0,38.0891,4,1,0,1,85.7396,8.0,0.383301
S00010,0,28.1722,1,0,0,0,116.5618,8.0,0.131173
S00011,0,33.2319,2,1,0,1,60.4774,8.0,0.226683
S00012,1,44.1716,2,1,0,1,131.5837,8.0,0.309919
S00013,1,53.5533,5,1,0,0,143.9219,8.0,0.604328
S00014,1,44.3762,2,0,1,0,141.9516,8.0,0.291463
S00015,1,31.6481,2,0,0,1,124.8296,8.0,0.142947
S00016,1,43.743,3,0,1,1,100.8758,8.0,0.252609
S00017,0,36.7766,3,0,1,1,159.6691,8.0,0.324759
S00018,0,24.1627,1,0,0,1,125.2413,8.0,0.110214
S00019,0,23.3454,1,0,0,1,96.7133,8.0,0.094514
S00020,0,53.6791,4,1,1,0,162.872,8.0,0.687237
S00021,0,24.7846,1,0,0,0,64.0701,8.0,0.099251
S00022,1,43.8082,2,1,0,0,105.9163,8.0,0.330815
S00023,1,43.7758,2,0,1,1,159.5916,8.0,0.262609
S00024,0,29.1085,3,0,0,0,83.4157,8.0,0.183996
S00025,1,65.9125,6,1,1,0,181.5917,8.0,0.817507
S00026,0,52.4366,6,1,1,1,163.3304,8.0,0.757676
S00027,1,46.6567,2,1,0,0,144.1289,8.0,0.38338
S00028,0,36.0518,2,0,1,0,118.8676,8.0,0.263706
S00029,0,21.7978,0,0,0,1,123.475,8.0,0.083238
S00030,0,35.2302,3,0,1,1,134.0037,8.0,0.291941
S00031,0,25.0988,2,0,0,1,90.6782,8.0,0.119631
S00032,1,39.195,4,0,0,0,123.9561,8.0,0.279637
S00033,0,39.4111,4,0,1,1,114.8552,8.0,0.33162
S00034,0,30.0611,2,0,0,0,107.1802,8.0,0.161526
S00035,0,56.5106,6,1,1,0,170.7847,8.0,0.807634
S00036,1,52.9223,3,1,1,1,122.6105,8.0,0.498916
S00037,0,21.655,0,0,0,1,77.0349,8.0,0.064297
S00038,0,20.7798,0,0,0,1,103.9012,8.0,0.074703
S00039,0,22.9128,1,0,0,1,69.6068,8.0,0.081484
S00040,0,33.6685,3,0,1,1,116.0007,8.0,0.270124
S00041,1,61.4026,7,1,1,1,135.3772,8.0,0.78113
S00042,0,46.9235,3,1,1,0,162.676,8.0,0.619177
S00043,0,37.0581,2,1,0,1,133.6953,8.0,0.312635
S00044,1,60.4831,5,1,1,1,163.5134,8.0,0.698693
S00045,1,58.9274,5,1,1,0,163.6624,8.0,0.748753
S00046,0,43.8094,5,1,0,1,132.5195,8.0,0.526255
S00047,1,63.8778,5,1,1,0,187.5352,8.0,0.774729
S00048,0,23.3217,2,0,0,1,77.5432,8.0,0.111576
S00049,1,42.8579,2,0,1,1,144.4211,8.0,0.245368
S00050,0,41.0158,4,1,0,1,120.6009,8.0,0.433792
S00051,1,45.5752,2,0,1,0,157.4174,8.0,0.31099
S00052,0,35.6922,4,0,0,0,120.5298,8.0,0.275515
S00053,1,37.1507,3,0,0,1,106.4304,8.0,0.167784
S00054,0,31.4352,1,0,1,1,119.1544,8.0,0.171494
S00055,1,46.0335,2,1,0,0,157.4676,8.0,0.402467
S00056,0,39.1711,5,0,1,1,137.4666,8.0,0.434086
S00057,0,48.0828,4,1,1,0,144.4301,8.0,0.662975
S00058,0,29.5094,2,0,0,0,77.2446,8.0,0.138652
S00059,0,24.778,2,0,0,0,39.5247,8.0,0.113765
S00060,1,44.1947,2,1,0,0,92.1356,8.0,0.312773
S00061,0,41.629,1,1,1,0,125.0517,8.0,0.415885
S00062,1,61.9296,7,1,1,1,151.6397,8.0,0.797354
S00063,0,42.2553,3,1,0,0,114.0043,8.0,0.411934
